id,weight,sex,education,region,age,income,job_prestige,mother_job_prestige,father_job_prestige,socioeconomic_index,satjob,relationship,male_breadwinner,men_bettersuited,child_suffer,men_overwork
2153,0.4714985548,female,14.0,w. nor. central,34.0,19277.5,21.0,64.0,,13.6,very satisfied,,,,,
2154,0.9429971097,female,14.0,w. nor. central,31.0,57832.5,24.0,28.0,32.0,20.7,mod. satisfied,agree,strongly disagree,disagree,disagree,agree
2155,0.9429971097,female,12.0,w. nor. central,32.0,19277.5,24.0,33.0,,20.7,very satisfied,strongly agree,strongly disagree,disagree,agree,agree
2156,0.4714985548,male,17.0,w. nor. central,26.0,22782.5,48.0,61.0,46.0,39.1,very satisfied,disagree,strongly disagree,disagree,disagree,neither agree nor disagree
2157,0.9429971097,male,12.0,w. nor. central,53.0,158201.8412,28.0,35.0,48.0,25.2,mod. satisfied,strongly disagree,disagree,agree,disagree,strongly agree
2158,0.4714985548,male,12.0,w. nor. central,49.0,,31.0,46.0,45.0,19.6,very dissatisfied,,,,,
2159,0.4714985548,female,13.0,w. nor. central,20.0,350.5,31.0,21.0,45.0,19.6,mod. satisfied,strongly agree,disagree,disagree,,disagree
2160,0.4714985548,female,12.0,w. nor. central,39.0,31545.0,62.0,,31.0,50.4,mod. satisfied,,,,,
2161,0.4714985548,female,12.0,w. nor. central,38.0,57832.5,59.0,31.0,35.0,65.1,mod. satisfied,disagree,disagree,disagree,disagree,agree
2162,0.4714985548,male,19.0,w. nor. central,33.0,57832.5,69.0,48.0,,91.1,very dissatisfied,agree,strongly disagree,disagree,disagree,agree
2163,0.9429971097,male,12.0,w. nor. central,63.0,47317.5,49.0,48.0,44.0,56.9,very satisfied,disagree,disagree,disagree,agree,agree
2164,0.9429971097,male,9.0,w. nor. central,82.0,16648.75,35.0,31.0,32.0,32.0,,disagree,strongly agree,agree,strongly agree,agree
2165,0.9429971097,female,12.0,w. nor. central,47.0,19277.5,32.0,39.0,63.0,17.1,very satisfied,,,,,
2166,1.17948398,male,14.0,w. nor. central,38.0,7886.25,35.0,31.0,28.0,31.6,very satisfied,agree,,disagree,disagree,agree
2167,0.9429971097,male,14.0,w. nor. central,25.0,38555.0,50.0,40.0,48.0,32.6,a little dissat,strongly agree,disagree,disagree,agree,strongly agree
2168,0.9429971097,female,9.0,w. nor. central,55.0,47317.5,33.0,,,13.6,very satisfied,strongly disagree,strongly disagree,disagree,disagree,disagree
2169,0.9429971097,female,10.0,w. nor. central,55.0,70100.0,25.0,33.0,24.0,23.8,very satisfied,,,,,
2170,0.4714985548,female,16.0,w. nor. central,74.0,38555.0,61.0,61.0,39.0,80.9,,strongly agree,disagree,disagree,disagree,disagree
2171,0.9429971097,male,12.0,w. nor. central,77.0,84120.0,45.0,,35.0,58.4,,agree,disagree,disagree,agree,agree
2172,0.4714985548,female,12.0,w. nor. central,61.0,158201.8412,39.0,36.0,26.0,41.0,very satisfied,agree,agree,agree,disagree,agree
